DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020326,88.05,89.74,87.99,88.85,2989700,0
20020327,89.73,89.88,88.69,89.30,2372600,0
20020328,89.10,90.95,88.96,90.25,2687000,0
20020401,89.40,89.45,88.00,88.47,2705500,0
20020402,87.59,88.20,87.24,87.53,2224100,0
20020403,87.75,87.90,86.09,86.46,2607100,0
20020404,86.11,87.49,85.80,86.55,2072800,0
20020405,87.25,87.85,86.00,86.15,2187500,0
20020408,85.05,86.30,84.95,86.06,2533600,0
20020409,85.85,86.85,84.51,84.60,2843200,0
20020410,84.80,85.59,83.22,84.49,3812700,0
20020411,83.91,84.10,80.35,81.24,5271800,0
20020412,81.75,83.01,81.65,83.00,5214500,0
20020415,82.53,83.41,81.45,81.60,2648200,0
20020416,82.35,85.23,82.35,84.59,3249700,0
20020417,84.63,86.42,84.00,85.05,2966100,0
20020418,85.06,85.48,83.26,84.52,2491300,0
20020419,85.00,87.00,84.64,86.31,3583300,0
20020422,85.50,86.05,84.10,84.10,2820800,0
20020423,84.20,84.34,81.60,81.60,3401000,0
20020424,82.20,82.37,79.49,79.49,4644500,0
20020425,79.00,79.60,75.80,77.21,5802800,0
20020426,79.00,79.95,78.70,79.15,5860400,0
20020429,79.16,80.70,77.47,78.50,4244200,0
20020430,78.25,84.39,78.00,78.75,3792400,0
20020501,78.55,79.75,77.00,79.21,4153900,0
20020502,80.55,81.00,79.81,80.71,4576800,0
20020503,80.30,80.30,78.45,78.55,3445400,0
20020506,78.80,79.09,75.15,75.16,3251000,0
20020507,76.00,76.05,74.00,74.85,4725200,0
20020508,76.57,80.10,76.57,79.50,4597500,0
20020509,78.90,79.62,78.30,78.64,3595100,0
20020510,78.64,78.64,76.25,76.75,2893300,0
20020513,76.65,78.49,76.00,78.11,2854600,0
20020514,79.85,80.10,78.20,79.30,3567700,0
20020515,79.20,80.50,78.62,79.46,2986400,0
20020516,79.70,80.47,79.40,80.05,2275400,0
20020517,80.55,80.85,79.73,80.50,3106300,0
20020520,80.50,80.50,80.50,80.50,0,0
20020521,80.58,82.05,78.76,79.20,3312100,0
20020522,78.95,79.10,77.66,78.20,3697500,0
20020523,78.75,79.45,77.85,79.17,3374100,0
20020524,78.80,79.06,77.76,78.19,11500000,0
20020527,78.19,78.19,78.19,78.19,0,0
20020528,78.30,78.39,75.81,76.90,9482100,0
20020529,76.70,76.80,75.82,76.15,2048000,0
20020530,76.15,76.30,74.25,75.08,3467600,0
20020531,75.26,76.94,75.20,75.45,2708500,0
20020603,75.45,75.80,73.39,73.79,2988100,0
20020604,73.80,74.60,73.14,73.80,4040800,0
20020605,74.80,75.75,74.42,75.75,3738400,0
20020606,75.55,76.00,73.33,73.95,2704700,0
20020607,72.75,74.96,72.50,73.95,14033700,0
20020610,74.25,75.60,73.20,74.74,2261600,0
20020611,75.00,75.30,72.10,72.10,2168400,0
20020612,72.10,72.75,70.10,72.50,4602100,0
20020613,72.38,72.91,71.15,71.30,2077500,0
