Date,Open,High,Low,Close,Adj Close,Volume
2017-08-24,160.429993,160.740005,158.550003,159.270004,155.087204,19818900
2017-08-25,159.649994,160.559998,159.270004,159.860001,155.661713,25480100
2017-08-28,160.139999,162.000000,159.929993,161.470001,157.229446,25966000
2017-08-29,160.100006,163.119995,160.000000,162.910004,158.631622,29516900
2017-08-30,163.800003,163.889999,162.610001,163.350006,159.060074,27269600
2017-08-31,163.639999,164.520004,163.479996,164.000000,159.692978,26785100
2017-09-01,164.800003,164.940002,163.630005,164.050003,159.741684,16591100
2017-09-05,163.750000,164.250000,160.559998,162.080002,157.823425,29468500
2017-09-06,162.710007,162.990005,160.520004,161.910004,157.657867,21651700
2017-09-07,162.089996,162.240005,160.360001,161.259995,157.024948,21928500
2017-09-08,160.860001,161.149994,158.529999,158.630005,154.464020,28611500
2017-09-11,160.500000,162.050003,159.889999,161.500000,157.258652,31580800
2017-09-12,162.610001,163.960007,158.770004,160.860001,156.635468,71714000
2017-09-13,159.869995,159.960007,157.910004,159.649994,155.457230,44907400
2017-09-14,158.990005,159.399994,158.089996,158.279999,154.123199,23760700
2017-09-15,158.470001,160.970001,158.000000,159.880005,155.681183,49114600
2017-09-18,160.110001,160.500000,158.000000,158.669998,154.502975,28269400
2017-09-19,159.509995,159.770004,158.440002,158.729996,154.561386,20810600
2017-09-20,157.899994,158.259995,153.830002,156.070007,151.971283,52951400
2017-09-21,155.800003,155.800003,152.750000,153.389999,149.361633,37511700
2017-09-22,151.539993,152.270004,150.559998,151.889999,147.901031,46645400
2017-09-25,149.990005,151.830002,149.160004,150.550003,146.596222,44387300
2017-09-26,151.779999,153.919998,151.690002,153.139999,149.118195,36660000
2017-09-27,153.800003,154.720001,153.539993,154.229996,150.179565,25504200
2017-09-28,153.889999,154.279999,152.699997,153.279999,149.254517,22005500
2017-09-29,153.210007,154.130005,152.000000,154.119995,150.072464,26299800
2017-10-02,154.259995,154.449997,152.720001,153.809998,149.770599,18698800
2017-10-03,154.009995,155.089996,153.910004,154.479996,150.422989,16230300
2017-10-04,153.630005,153.860001,152.460007,153.479996,149.449265,20163800
2017-10-05,154.179993,155.440002,154.050003,155.389999,151.309082,21283800
2017-10-06,154.970001,155.490005,154.559998,155.300003,151.221481,17407600
2017-10-09,155.809998,156.729996,155.490005,155.839996,151.747284,16262900
2017-10-10,156.059998,158.000000,155.100006,155.899994,151.805710,15617000
2017-10-11,155.970001,156.979996,155.750000,156.550003,152.438675,16905600
2017-10-12,156.350006,157.369995,155.729996,156.000000,151.903107,16125100
2017-10-13,156.729996,157.279999,156.410004,156.990005,152.867111,16394200
2017-10-16,157.899994,160.000000,157.649994,159.880005,155.681183,24121500
2017-10-17,159.779999,160.869995,159.229996,160.470001,156.255707,18997300
2017-10-18,160.419998,160.710007,159.600006,159.759995,155.564346,16374200
2017-10-19,156.750000,157.080002,155.020004,155.979996,151.883606,42584200
2017-10-20,156.610001,157.750000,155.960007,156.250000,152.146515,23974100
2017-10-23,156.889999,157.690002,155.500000,156.169998,152.068604,21984300
2017-10-24,156.289993,157.419998,156.199997,157.100006,152.974213,17757200
2017-10-25,156.910004,157.550003,155.270004,156.410004,152.302322,21207100
2017-10-26,157.229996,157.830002,156.779999,157.410004,153.276062,17000500
2017-10-27,159.289993,163.600006,158.699997,163.050003,158.767929,44454200
2017-10-30,163.889999,168.070007,163.720001,166.720001,162.341568,44700800
2017-10-31,167.899994,169.649994,166.940002,169.039993,164.600632,36046800
2017-11-01,169.869995,169.940002,165.610001,166.889999,162.507095,33637800
2017-11-02,166.600006,168.500000,165.279999,168.110001,163.695053,41393400
2017-11-03,174.000000,174.259995,171.119995,172.500000,167.969772,59398600
2017-11-06,172.369995,174.990005,171.720001,174.250000,169.673798,34319500
2017-11-07,173.910004,175.250000,173.600006,174.809998,170.219101,24361500
2017-11-08,174.660004,176.240005,174.330002,176.240005,171.611557,24409500
2017-11-09,175.110001,176.100006,173.139999,175.880005,171.260986,29482600
2017-11-10,175.110001,175.380005,174.270004,174.669998,170.694199,25145500
2017-11-13,173.500000,174.500000,173.399994,173.970001,170.010132,16982100
2017-11-14,173.039993,173.479996,171.179993,171.339996,167.439987,24782500
2017-11-15,169.970001,170.320007,168.380005,169.080002,165.231430,29158100
2017-11-16,171.179993,171.869995,170.300003,171.100006,167.205475,23637500
2017-11-17,171.039993,171.389999,169.639999,170.149994,166.277084,21899500
2017-11-20,170.289993,170.559998,169.559998,169.979996,166.110947,16262400
2017-11-21,170.779999,173.699997,170.779999,173.139999,169.199020,25131300
2017-11-22,173.360001,175.000000,173.050003,174.960007,170.977585,25588900
2017-11-24,175.100006,175.500000,174.649994,174.970001,170.987366,14026700
2017-11-27,175.050003,175.080002,173.339996,174.089996,170.127380,20716800
2017-11-28,174.300003,174.869995,171.860001,173.070007,169.130630,26428800
2017-11-29,172.630005,172.919998,167.160004,169.479996,165.622330,41666400
2017-11-30,170.429993,172.139999,168.440002,171.850006,167.938385,41527200
2017-12-01,169.949997,171.669998,168.500000,171.050003,167.156601,39759300
2017-12-04,172.479996,172.619995,169.630005,169.800003,165.935043,32542400
2017-12-05,169.059998,171.520004,168.399994,169.639999,165.778687,27350200
2017-12-06,167.500000,170.199997,166.460007,169.009995,165.163025,28560000
2017-12-07,169.029999,170.440002,168.910004,169.320007,165.465988,25673300
2017-12-08,170.490005,171.000000,168.820007,169.369995,165.514832,23355200
2017-12-11,169.199997,172.889999,168.789993,172.669998,168.739731,35273800
2017-12-12,172.149994,172.389999,171.460007,171.699997,167.791794,19409200
2017-12-13,172.500000,173.539993,172.000000,172.270004,168.348831,23818400
2017-12-14,172.399994,173.130005,171.649994,172.220001,168.299973,20476500
2017-12-15,173.630005,174.169998,172.460007,173.970001,170.010132,40169300
2017-12-18,174.880005,177.199997,174.860001,176.419998,172.404373,29421100
2017-12-19,175.029999,175.389999,174.089996,174.539993,170.567154,27436400
2017-12-20,174.869995,175.419998,173.250000,174.350006,170.381485,23475600
2017-12-21,174.169998,176.020004,174.100006,175.009995,171.026459,20949900
2017-12-22,174.679993,175.419998,174.500000,175.009995,171.026459,16114600
2017-12-26,170.800003,171.470001,169.679993,170.570007,166.687531,33185500
2017-12-27,170.100006,170.779999,169.710007,170.600006,166.716858,21498200
2017-12-28,171.000000,171.850006,170.479996,171.080002,167.185913,16480200
2017-12-29,170.520004,170.589996,169.220001,169.229996,165.378021,25884400
2018-01-02,170.160004,172.300003,169.259995,172.259995,168.339050,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,168.309738,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,169.091522,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,171.016678,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,170.381485,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,170.361954,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,170.322845,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,171.290329,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,173.059113,25226000
2018-01-16,177.899994,179.389999,176.139999,176.190002,172.179611,29565900
2018-01-17,176.149994,179.250000,175.070007,179.100006,175.023361,34386800
2018-01-18,179.369995,180.100006,178.250000,179.259995,175.179718,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,174.397949,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,172.971176,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,173.010254,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,170.254440,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,167.215210,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,167.606140,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,164.136932,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,163.169464,46048200
